model,test_set,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,latency_ms,throughput_lps,tp,fp,tn,fn,positive_support,negative_support,threshold,metric_note
Regex Baseline,test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.023195627686263768,43111.57316049656,72,0,210,0,72,210,0.7,
Raw BiLSTM,test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.303546985746725,136.91977363212084,72,0,210,0,72,210,0.49999999999999994,
Normalized BiLSTM,test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9.557042702089612,104.63487829570477,72,0,210,0,72,210,0.49999999999999994,
BiLSTM + Attention,test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.718583187931349,211.92802164804158,72,0,210,0,72,210,0.49999999999999994,
BiLSTM + Signal,test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.2167780744399,75.66140509947074,72,0,210,0,72,210,0.49999999999999994,
Regex Baseline,unseen_obfuscation_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,0.031013653656319164,32243.863012130005,589,0,0,0,589,0,0.7,single-class test set; ROC-AUC and PR-AUC are undefined
Raw BiLSTM,unseen_obfuscation_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,13.584130872679394,73.61530961183648,589,0,0,0,589,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Normalized BiLSTM,unseen_obfuscation_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,14.92482420881848,67.00246421724285,589,0,0,0,589,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Attention,unseen_obfuscation_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,5.714749363328114,174.98580190009022,589,0,0,0,589,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Signal,unseen_obfuscation_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,13.607345500845124,73.489719206284,589,0,0,0,589,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Regex Baseline,adversarial_evasion_test.csv,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578947,,,0.0,0.2727272727272727,0.03770543939981967,26521.372404555048,576,0,0,216,792,0,0.7,single-class test set; ROC-AUC and PR-AUC are undefined
Raw BiLSTM,adversarial_evasion_test.csv,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,,,0.0,0.09090909090909091,14.239564657834832,70.22686606151153,720,0,0,72,792,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Normalized BiLSTM,adversarial_evasion_test.csv,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,,,0.0,0.09090909090909091,14.570155566910428,68.6334470080094,720,0,0,72,792,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Attention,adversarial_evasion_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,5.103597642697753,195.9402112019555,792,0,0,0,792,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Signal,adversarial_evasion_test.csv,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,,,0.0,0.09090909090909091,12.254419771474057,81.60321081278842,720,0,0,72,792,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Regex Baseline,hard_negative_test.csv,0.5222222222222223,0.0,0.0,0.0,,,0.4777777777777778,0.0,0.044478705482712634,22482.668709606805,0,86,94,0,0,180,0.7,single-class test set; ROC-AUC and PR-AUC are undefined
Raw BiLSTM,hard_negative_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,14.676790744447821,68.13478623576455,0,0,180,0,0,180,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Normalized BiLSTM,hard_negative_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,14.060916205441268,71.11912092990227,0,0,180,0,0,180,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Attention,hard_negative_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,5.464023844332486,183.0153067573528,0,0,180,0,0,180,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Signal,hard_negative_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,11.174215744378873,89.4917390961459,0,0,180,0,0,180,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Regex Baseline,external_greedybear_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,0.03772708344816541,26506.15707874519,60,0,0,0,60,0,0.7,single-class test set; ROC-AUC and PR-AUC are undefined
Raw BiLSTM,external_greedybear_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,13.030131949926727,76.74519366671673,60,0,0,0,60,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Normalized BiLSTM,external_greedybear_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,13.69029513298301,73.04444427869012,60,0,0,0,60,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Attention,external_greedybear_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,5.758158333386139,173.66663820304166,60,0,0,0,60,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Signal,external_greedybear_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,14.125350000297962,70.79470597039408,60,0,0,0,60,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Regex Baseline,external_splunk_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,0.07741700392216444,12917.058906146853,1,0,0,0,1,0,0.7,single-class test set; ROC-AUC and PR-AUC are undefined
Raw BiLSTM,external_splunk_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,113.14420899725519,8.838278236796542,1,0,0,0,1,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Normalized BiLSTM,external_splunk_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,136.76462500006892,7.311832281187449,1,0,0,0,1,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Attention,external_splunk_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,71.94083297508769,13.900311667871415,1,0,0,0,1,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Signal,external_splunk_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,103.75416700844653,9.638167110132462,1,0,0,0,1,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Regex Baseline,external_foxit_pcap_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,0.08208325016312301,12182.753460818285,4,0,0,0,4,0,0.7,single-class test set; ROC-AUC and PR-AUC are undefined
Raw BiLSTM,external_foxit_pcap_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,33.35558324761223,29.97998843481729,4,0,0,0,4,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Normalized BiLSTM,external_foxit_pcap_test.csv,0.0,0.0,0.0,0.0,,,0.0,1.0,24.47091649810318,40.8648364305241,0,0,0,4,4,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Attention,external_foxit_pcap_test.csv,1.0,1.0,1.0,1.0,,,0.0,0.0,20.801614751690067,48.07319104488045,4,0,0,0,4,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Signal,external_foxit_pcap_test.csv,0.0,0.0,0.0,0.0,,,0.0,1.0,25.21247924596537,39.66289829113197,0,0,0,4,4,0,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Regex Baseline,external_benign_web_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,0.041919580107787624,23855.200777982616,0,0,200,0,0,200,0.7,single-class test set; ROC-AUC and PR-AUC are undefined
Raw BiLSTM,external_benign_web_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,14.548718750011176,68.73457499473841,0,0,200,0,0,200,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Normalized BiLSTM,external_benign_web_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,16.245707085035974,61.55472302717476,0,0,200,0,0,200,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Attention,external_benign_web_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,5.639570420025848,177.31847029501526,0,0,200,0,0,200,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
BiLSTM + Signal,external_benign_web_test.csv,1.0,0.0,0.0,0.0,,,0.0,0.0,15.51948167005321,64.43514166646594,0,0,200,0,0,200,0.49999999999999994,single-class test set; ROC-AUC and PR-AUC are undefined
Regex Baseline,blind_manual_test.csv,0.8333333333333334,0.2222222222222222,1.0,0.36363636363636365,0.9125000000000001,0.2222222222222222,0.175,0.0,0.03351140497086037,29840.587133530917,4,14,66,0,4,80,0.7,
Raw BiLSTM,blind_manual_test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.588973214367538,64.14790674464386,4,0,80,0,4,80,0.49999999999999994,
Normalized BiLSTM,blind_manual_test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.427458333198004,64.81949122157876,4,0,80,0,4,80,0.49999999999999994,
BiLSTM + Attention,blind_manual_test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.624896321426301,216.22106324139253,4,0,80,0,4,80,0.49999999999999994,
BiLSTM + Signal,blind_manual_test.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,12.675232642712738,78.89401545421902,4,0,80,0,4,80,0.49999999999999994,
Regex Baseline,ood_stress_test.csv,0.3333333333333333,0.25,0.16666666666666666,0.2,0.4305555555555556,0.5416666666666666,0.5,0.8333333333333334,0.04082841314811958,24492.747155568955,24,72,72,120,144,144,0.7,
Raw BiLSTM,ood_stress_test.csv,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174,0.9513888888888888,0.9522974967905016,0.16666666666666666,0.25,12.21498683682714,81.86664573269007,108,24,120,36,144,144,0.49999999999999994,
Normalized BiLSTM,ood_stress_test.csv,0.5833333333333334,0.6,0.5,0.5454545454545454,0.7916666666666666,0.7660363256702574,0.3333333333333333,0.5,13.53934273952796,73.85882898735632,72,48,96,72,144,144,0.49999999999999994,
BiLSTM + Attention,ood_stress_test.csv,0.6527777777777778,1.0,0.3055555555555556,0.46808510638297873,0.925491898148148,0.9291382494584475,0.0,0.6944444444444444,5.8382358229209785,171.28461924644924,44,0,144,100,144,144,0.49999999999999994,
BiLSTM + Signal,ood_stress_test.csv,0.6458333333333334,0.7333333333333333,0.4583333333333333,0.5641025641025641,0.8132716049382717,0.8161464966268912,0.16666666666666666,0.5416666666666666,14.40172511805334,69.43612600593563,66,24,120,78,144,144,0.49999999999999994,
